name,Z,N,Omega,Omega_err
$^{25}$Mg,12,13,-0.042,0.009
$^{27}$Al,13,14,0.159,0.004
$^{35}$Cl,17,18,-0.0188,0
$^{37}$Cl,17,20,-0.0146,0
$^{39}$K,19,20,0.066,0
$^{45}$Sc,21,24,-0.07,0.36
$^{69}$Ga,31,38,0.107,0.02
$^{71}$Ga,31,40,0.146,0.02
$^{79}$Br,35,44,0.116,0
$^{81}$Br,35,46,0.129,0
$^{83}$Kr,36,47,-0.18,0.06
$^{87}$Rb,37,50,-0.58,0.39
$^{113}$In,49,64,0.565,0.012
$^{115}$In,49,66,0.574,0.015
$^{127}$I,53,74,0.167,0
$^{131}$Xe,54,77,0.048,0.012
$^{133}$Cs,55,78,0.8,0.1
$^{137}$Ba,56,81,0.05057,0.00054
$^{137}$Ba,56,81,0.0496,0.0037
$^{155}$Gd,64,91,-1.6,0.6
$^{165}$Ho,67,98,0.75,0.5
$^{173}$Yb,70,103,-34.4,2.1
$^{173}$Yb,70,103,1.9,3.8
$^{197}$Au,79,118,0.0098,0.0007
$^{197}$Au,79,118,0.13,0
$^{201}$Hg,80,121,-0.13,0.013
$^{209}$Bi,83,126,0.55,0.03
$^{209}$Bi,83,126,0.43,0
$^{207}$Po,84,123,0.11,0.01
