N,Z,A,spin,parity,Omega,Omega_err,Omega/r2,Omega/r2 err,,Sign from Schwartz
14,13,27,2.5,+,0.159,0.004,0.0204475308641975,0.00051440329218107,x,*
81,56,137,1.5,+,0.05057,0.00054,0.00220241336098447,2.35179595596523E-05,x,
126,83,209,4.5,-,0.51,0.05,0.0167607034799972,0.00164320622352914,x,
44,35,79,1.5,-,0.116,0,0.00729221591559775,0,x,
46,35,81,1.5,-,0.129,0,0.00797540271646329,0,x,
18,17,35,1.5,+,-0.0188,0,-0.00203359942564635,0,x,
20,17,37,1.5,+,-0.0146,0,-0.00152184806788135,0,x,
78,55,133,3.5,+,0.8,0.1,0.0355365408103694,0.00444206760129618,x,
38,31,69,1.5,-,0.107,0.02,0.00736157331048966,0.00137599501130648,x,
40,31,71,1.5,-,0.146,0.02,0.00985523264566602,0.00135003186926932,x,
91,64,155,1.5,-,-1.6,0.6,-0.0641778417556133,0.024066690658355,x,
121,80,201,1.5,-,-0.13,0.013,-0.0043849593487688,0.00043849593487688,x,
98,67,165,3.5,-,0.75,0.5,0.0288552533271918,0.0192368355514612,x,
74,53,127,2.5,+,0.167,0,0.0076500965215565,0,x,
64,49,113,4.5,+,0.565,0.012,0.0279779405504146,0.000594221746203496,x,
66,49,115,4.5,+,0.574,0.015,0.0280930951212572,0.000734140116409161,x,
20,19,39,1.5,+,-0.066,0,-0.00664233010561892,0,x,*
47,36,83,1.5,+,-0.18,0.06,-0.0109489725689127,0.00364965752297092,x,
13,12,25,2.5,+,-0.042,0.009,-0.00568559004652502,0.00121834072425536,x,*
123,84,207,2.5,-,0.11,0.01,0.00363830172530349,0.000330754702300318,x,
50,37,87,1.5,-,-0.58,0.39,-0.0341901822661546,0.0229899501444833,x,
24,21,45,3.5,-,-0.07,0.53,-0.00640387169018273,0.0484864570828121,x,
77,54,131,1.5,+,0.048,0.012,0.00215383930370344,0.000538459825925859,x,
118,79,197,1.5,+,0.0098,0.0007,0.000335018031476019,2.39298593911442E-05,x,
